Record ID,Name,Email,Phone Number,Company Name,Company Domain Name,LinkedIn Company Page,Industry Category,Description,Revenue Category,Employee Size Category,Is Public,Street Address,City,State,Postal Code,Country,Time Zone,First Contact Date,Year Founded
17975227691,Alison Baguio,alison@illusionsofgrandeur.com,8318995488,Illusions of Grandeur,illusionsofgrandeur.com,https://www.linkedin.com/company/illusions-of-grandeur,Education,"Illusions of Grandeur is an event planning and rental company based in Monterey, Carmel, and Seaside. With over 30 years of experience, we specialize in designing and producing spectacular events on any scale. Our team works in partnership with clients...",Large,Micro,False,479 ELDER AVE,Carmel-by-the-Sea,CA,93922,United States,America/Los_Angeles,2023-11-07,1985
17926882582,Alina Diez,alinaisabel.diez@ehu.eus,34946012000,UPV/EHU,ehu.eus,http://www.linkedin.com/company/1497295,Education,The University of the Basque Country (UPV/EHU) is a renowned educational institution that offers a wide range of academic programs and funding opportunities. It provides practical information for exchange visiting students and is known for its research...,Large,Enterprise,False,PARQUE DE SARRIKO,Vizcaya,,33142,Spain,Europe/Madrid,2023-11-02,1968
17874768553,Chris Sommers,abaltzegar@montereyplazahotel.com,8316461700,Monterey Plaza Hotel & Spa,montereyplazahotel.com,https://www.linkedin.com/company/monterey-plaza-hotel-&-spa,Hospitality and Travel,"Monterey Plaza Hotel & Spa is a luxury resort located on Cannery Row in Monterey, California. The hotel offers elegant European architecture, sweeping coastal views, and sophisticated style. Guests can enjoy the gentle sounds of the surf, the fresh sce...",Large,Medium,False,400 Cannery Row,Monterey,CA,93940,United States,America/Los_Angeles,2023-10-30,1985
17871974241,Kimberly Schnader,kschnader@bernarduslodge.com,8316583400,Bernardus Lodge & Spa,bernarduslodge.com,https://www.linkedin.com/company/bernardus-lodge,Hospitality and Travel,"Carmel Valley Hotels | Bernardus Lodge | Official Website Savor the gracious intimacy of a resort and spa with an epicurean flair. Experience an unforgettable five course dinner expertly paired with acclaimed wines from Quintessa, renowned for producin...",Large,Medium,False,415 West Carmel Valley Road,Carmel Valley,CA,93924,United States,America/Los_Angeles,2023-10-30,1999
17840837181,Jessica Guerra,jessica@postranchinn.com,8316672200,Post Ranch Inn,postranchinn.com,https://www.linkedin.com/company/postranchinn,Hospitality and Travel,"Post Ranch Inn is a luxury resort located in Big Sur, California. It offers the ultimate accommodations for a romantic getaway, including honeymoon, anniversary, wedding, and relaxing spa packages. The resort is fully accessible by car and provides stu...",Large,Medium,False,219 PO Box,Big Sur,CA,93920,United States,America/Los_Angeles,2023-10-27,1992
17790125203,Wen Zhang,wen@innw-atx.com,,Innw Atx,innw-atx.com,https://www.linkedin.com/company/innw-institute,Technology,"Innw Atx is a company that provides a range of services to help entrepreneurs and executives with investment readiness, GTM marketing strategy, and global expansion. They offer customized entrepreneurship programming to cultivate a thriving startup cul...",Medium,Micro,False,,Austin,TX,,United States,America/Chicago,2023-10-24,1992
17789714490,Michelle Childs ,vgutierrez2@salinasvalleyhealth.com,,Salinas Valley Health,salinasvalleyhealth.com,https://www.linkedin.com/company/salinas-valley-memorial-healthcare-system,Healthcare,"Salinas Valley Health is a trusted provider of high quality healthcare for patients of all ages. We provide specialized care and general services, with our primary goal being to improve the health and well-being of our community.",Large,Enterprise,False,450 East Romie Lane,Salinas,CA,93901,United States,America/Los_Angeles,2023-10-24,1953
17788351320,Mando Levett,mando@mando.surf,,Mando Surf Crafts,mando.surf,,Other,"Mando Surf Crafts is a company that specializes in creating custom surfboards. They provide floats, shape, style, and performance to meet the individual needs of surfers. Whether you are looking for a thruster or a twinner, Mando Surf Crafts can create...",Medium,Micro,False,7212 5th Avenue,New York,NY,10022,United States,America/New_York,2023-10-24,1953
17775208736,Megan Phillips,mphillips@everspringpartners.com,18472784287,Everspring,everspringpartners.com,https://www.linkedin.com/company/everspring-inc-,Technology,"Everspring is a leading provider of full-service, customized online educational solutions. They partner with universities to design and deliver innovative online programs that meet the changing needs of students, faculty, and programs. Everspring combi...",Large,Medium,False,200 W Jackson Blvd,Chicago,IL,60606,United States,America/Chicago,2023-10-23,2011
17733846884,Michelle Slade,michelle@myc4strategist.com,,C4 CONSULTING,myc4strategist.com,,Education,"C4 Consulting is a strategic consulting and coaching company that helps mission-driven change leaders accelerate their ability to achieve results that matter. With over 20 years of experience, Michelle Slade and her associates provide services such as ...",Medium,Micro,False,,Carmel Valley,CA,93924,United States,America/Los_Angeles,2023-10-19,2011
17666935943,Kathy Martinez,kathy.martinez@ottersoft.com,,OtterSoft,ottersoft.com,https://www.linkedin.com/company/ottersoft-usa,Technology,"OtterSoft is a team of innovators and visionaries with an eye not only for big picture solutions, but for long term growth and productivity. Our passion lies in bringing value and expediting digital transformation to our clients. We are a group of engi...",Large,Small,False,,Modesto,CA,,United States,America/Los_Angeles,2023-10-13,2021
17633267810,powell moneyfloworg,powell@moneyflow.org,15304777734,Moneyflow Organization,moneyflow.org,https://www.linkedin.com/company/moneyflow,Finance and Legal,"The Moneyflow Organization is a company that provides the Moneyflow Money Management System, a software development solution for personal finance. Their system allows users to track and control their finances in a simple and inspiring way. The company'...",Medium,Micro,False,,Monterey,CA,,United States,America/Los_Angeles,2023-10-10,2020
17610436631,Paige Phipps,pphipps@flexcarestaff.com,14048464100,FlexCare LLC,flexcarestaff.com,https://www.linkedin.com/company/flexcare-medical-staffing,Other,"FlexCare Medical Staffing is a nationwide leader in travel nursing, therapy, and allied staffing services. They provide staffing services for the top acute care facilities and healthcare systems in the country. FlexCare offers programs like SinglePoint...",Large,Enterprise,False,532 Gibson Drive,Roseville,CA,95678,United States,America/Los_Angeles,2023-10-08,2006
17563404089,Jesus Ruvalcaba,jesus@papertacos.com,,Paper TacosTM,papertacos.com,https://www.linkedin.com/company/paper-tacos,Other,Paper Tacos is a Spanish greeting cards shop that offers a collection of Spanish language greeting cards influenced by Hispanic culture. They also have a compact calendar featuring their popular illustrations. The company's designs are rooted in Mexica...,Medium,Micro,False,1325 Abbott Street,Salinas,CA,93901,United States,America/Los_Angeles,2023-10-03,2017
17536703501,Brandon Engholm,brandon@interphasic.com,8313920708,Interphasic LLC,interphasic.com,https://www.linkedin.com/company/interphasic-llc,Real Estate and Development,"Interphasic LLC is a company that specializes in control systems. They provide control designs for hydraulic, pneumatic, and mechanical systems using advanced micro controller technology. Their control systems are known for their accuracy, repeatabilit...",Medium,Micro,False,1621 Plumas Avenue,Seaside,CA,93955,United States,America/Los_Angeles,2023-10-01,2002
17530809410,Shabina Singh,singh.shab@northeastern.edu,6173732000,Northeastern University,northeastern.edu,https://www.linkedin.com/school/northeastern-university,Education,"Northeastern University is a global, experiential, research university founded in 1898. The university offers a comprehensive range of undergraduate and graduate programs leading to degrees through the doctorate in nine colleges and schools. It has gra...",Large,Enterprise,False,401 Terry Ave N #103,Boston,MA,02115,United States,America/New_York,2023-09-30,1898
17528088461,Hadrien Le Hodey,hadrien@waterlemon.vc,,Waterlemon,waterlemon.vc,,Finance and Legal,"Waterlemon Ventures is a family-backed fund that empowers ambitious entrepreneurs in the AgTech, FoodTech, and ClimateTech spaces. They provide funding ranging from €300k to €1.5m from Pre Seed to Series A. Their mission is to support promising startup...",Small,,False,,,,,,,2023-09-30,1898
17513013392,Romain Thibaux ,nhan.nguyen@verdantrobotics.com,14045433754,Verdant Robotics,verdantrobotics.com,https://www.linkedin.com/company/verdant-robotics-inc,Industrial and Manufacturing,"Verdant Robotics brings high fidelity farming to achieve precision at massive scale. Weed and thin high density, conventional, organic and no till crops with the pinpoint precision of the Model B Smart Sprayer. 96% less input usage 50%+ decrease in w...",Large,Small,False,26062 EDEN LANDING RD,Hayward,CA,93635,United States,America/Los_Angeles,2023-09-28,1898
17513871765,Lee Vetsch,lee.vetsch@ospraie.com,2126025000,"Ospraie Management, LLC",ospraie.com,https://www.linkedin.com/company/106024,Education,"Ospraie Management is an investment management firm that specializes in commodity and basic industry investing. The company manages funds that invest in a wide range of commodities, including energy, agriculture, and metals. Ospraie Management also pro...",Large,Micro,False,437 Madison Avenue,New York,NY,10022,United States,America/New_York,2023-09-28,2004
17512851840,Kevin Piffero,kpiffero@mantisag-tech.com,19287503684,mantisag-tech.com,mantisag-tech.com,,Other,"Mantis Automated Thinners are available for lease or purchase. Built with your needs in mind, they provide an application tailored to your farming operation.",Small,,False,151 Gonzales River Road,Gonzales,CA,93926,United States,America/Los_Angeles,2023-09-28,2004
17510368356,Juana Gomez,juana.gomez@fruturaproduce.com,,Frutura,fruturaproduce.com,https://www.linkedin.com/company/frutura-produce,Other,"Frutura is a sales and marketing network committed to supplying global customers with premium fruit, 365 days a year. The company’s growers and marketers consistently deliver produce of the highest quality, demonstrate operational excellence and share ...",Large,Medium,False,42874 Road 64,Reedley,CA,93654,United States,America/Los_Angeles,2023-09-28,2021
17501889908,Lisa Dobbins ,amy@growershipperfoundation.org,8314229007,GROWER-SHIPPER FOUNDATION,growershipperfoundation.org,https://www.linkedin.com/company/grower-shipper-association-foundation,Other,"Grower Shipper Association Foundation is a community-based program that organizes and partners with local growers and shippers to bring volunteers out to glean the fields and deliver the produce to local food banks. They also offer AgKnowledge, a 9-mon...",Medium,Micro,False,512 Pajaro Street,Salinas,CA,93901,United States,America/Los_Angeles,2023-09-27,1993
17423028405,Jack Michael,jmichael@santacruzcoe.org,18314665600,Santa Cruz County Office of Education,santacruzcoe.org,https://www.linkedin.com/company/santa-cruz-coe,Education,"The Santa Cruz County Office of Education provides student programs, supports school districts, and provides curricular and fiscal oversight to schools and students in Santa Cruz County.",Large,Large,False,400 Encinal Street,Santa Cruz,CA,95060,United States,America/Los_Angeles,2023-09-22,1861
17414313027,Salvador Ornelas Reynoso,salvador@churchbrothers.com,8317961000,Church Brothers Farms,churchbrothers.com,https://www.linkedin.com/company/church-brothers-farms,Consumer Goods and Retail,"Church Brothers Farms is a vertically integrated family owned and operated company that produces a full line of fresh vegetables year round with an in house farming/harvest program and state of the art processing plant, True Leaf Farms. We are a grower...",Large,Large,False,19065 Portola Drive,Salinas,CA,93908,United States,America/Los_Angeles,2023-09-21,1999
17412364584,Lynsey Mercier,lynsey.mercier@bd.com,12018476800,"Becton, Dickinson and Company",bd.com,https://www.linkedin.com/company/bd1,Healthcare,"BD is a medical technology company that serves healthcare institutions, life science researchers, clinical laboratories, and the industry. BD is one of the largest global medical technology companies in the world and is advancing the world of health by...",Large,Enterprise,True,1 Becton Drive,Franklin Lakes,NJ,07417,United States,America/New_York,2023-09-21,1897
17383949425,Kate Fisher,kate@katefisher.co,,Katefisher,katefisher.co,,Other,"Kate Fisher Sustainable Fashion consulting for emerging and established brands. Sustainable Product development, Sustainable Sourcing, Sustainable Supply chain management, and sustainable business strategy. Product Development, Supply Chain Management...",Small,,False,,,,,,,2023-09-19,1897
17371351155,Ruth YOung LOaeza,ruth@makeitneet.com,,Genius on Development Website by Buchanan Brand+Design,makeitneet.com,,Other,"Cut bedmaking time down by 50% with an invention so simple, you’ll wonder why you hadn’t thought of it. With flaps that allow for ease of application and uniformity in fit, this design element frees the user from having to move about the bed to ensure an even and smooth fit.",Small,,False,,,,92126,,,2023-09-18,1897
17305258065,Alia Elyas,aelyas@mpeb.biz,,mpeb.biz,mpeb.biz,,Other,,Small,,False,,,,,,,2023-09-12,1897
17302722333,Andy Kaufman,andy@andykaufman.net,,AndyKaufman.net,andykaufman.net,https://www.linkedin.com/company/carrot-health,Real Estate and Development,"AndyKaufman.net is a real estate investment company based in Santa Cruz, CA. They specialize in buying and selling properties as well as providing brokerage services. With their expertise in the real estate market, they help clients make informed decis...",Medium,Micro,False,950 SE Oak Ave,Roseburg,OR,97470,United States,America/Los_Angeles,2023-09-12,2014
17302676613,Vincent Powell,vincent.powell@swagelok.com,14402484600,Swagelok Company,swagelok.com,https://www.linkedin.com/company/swagelok,Industrial and Manufacturing,"Swagelok.com the source for tube fittings, valves, and other fluid system components | Swagelok A $1.8 billion, privately held company, Swagelok Company designs, manufactures, and delivers an expanding range of the highest quality fluid system products...",Large,Enterprise,False,29500 Solon Road,Solon,OH,44139,United States,America/New_York,2023-09-12,1947
17302038050,Bill OBanion,bill@sabinetechnology.com,,Sabinetechnology,sabinetechnology.com,,Other,"Sabine Technology is a company that specializes in cutting edge solutions utilizing state of the art acoustic sensing technology. They offer advanced sensor and monitoring instruments for crack/structural health, leak detection, dynamic balance, and pr...",Small,,False,,,,,,,2023-09-12,1947
17293097774,Mary Jo Zenk,laura@workingsolutions.org,14157801217,Working Solutions CDFI,workingsolutions.org,https://www.linkedin.com/company/workingsolutionsmicroloans,Finance and Legal,Working Solutions CDFI is a company that provides affordable capital and free business consulting to diverse entrepreneurs in Northern California. They specialize in start-up and early-stage financing for businesses in the region. Their services includ...,Large,Small,False,930 Montgomery St,San Francisco,CA,94133,United States,America/Los_Angeles,2023-09-11,1999
17290676311,Jill Irwin,jirwin@chipotle.com,19495244000,"Chipotle Mexican Grill, Inc.",chipotle.com,https://www.linkedin.com/company/chipotle-mexican-grill,Consumer Goods and Retail,"Chipotle Mexican Grill is a chain of restaurants specializing in burritos and tacos. They offer a focused menu of burritos, tacos, burrito bowls, and salads made from fresh, high-quality ingredients. Their food is prepared using classic cooking methods...",Large,Corporate,True,610 Newport Center Dr,Newport Beach,CA,92660,United States,America/Los_Angeles,2023-09-11,1993
17280695689,Robert Gardiner,fanjam@mcn.org,17079371444,Mendocino Community Network,mcn.org,http://www.linkedin.com/company/298443,Other,Mendocino Community Network (MCN) is an Internet Service Provider owned and operated by the Mendocino Unified School District. They provide connectivity and other services in rural Northern California. MCN is currently hiring for various positions.,Large,Medium,False,10700 Ford Street,Mendocino,CA,95460,United States,America/Los_Angeles,2023-09-10,1993
17276089452,Leslie August,leslie.august@fremontpeakcapital.com,,Fremont Peak Capital,fremontpeakcapital.com,https://www.linkedin.com/company/fremont-peak-capital-llc,Finance and Legal,"Fremont Peak Capital is a company that helps business owners achieve growth using strategic, innovative, and practical methods. They offer a range of services including business consulting, marketing strategy, digital marketing, investing, partnerships...",Medium,Micro,False,310 The Alameda,San Juan Bautista,CA,95045,United States,America/Los_Angeles,2023-09-09,2021
17271206767,Daryl Bouie,daryl@financialhealth.org,,financialhealth.org,financialhealth.org,,Other,,Small,,False,,,,,,,2023-09-08,2021
17254930456,James OConnor,james@innovationwithin.com,18314193830,Innovation Within,innovationwithin.com,https://www.linkedin.com/company/innovation-within,Technology,"Innovation Within is a company that provides simple to use software for streamlining teaching, learning, and implementing innovation, entrepreneurship, and customer discovery. Their software is comprehensively designed to facilitate the Lean LaunchPad ...",Medium,Micro,False,463 Isbel Drive,Santa Cruz,CA,95060,United States,America/Los_Angeles,2023-09-07,2015
17255922856,EDWARD BLESS,ed@h2solutions.com,9253728150,H2 Solutions,h2solutions.com,,Other,"H₂ Solutions Inc. is a company that specializes in providing sustainable solutions for environmental restoration and conservation. We offer a wide range of services including water and soil remediation, habitat restoration, and renewable energy solutio...",Large,Medium,False,1087 HILLSIDE DR,Martinez,CA,94553,United States,America/Los_Angeles,2023-09-07,2015
17241165120,Barbara Phalen,barbara.phalen@greaterzuricharea.com,,Greater Zurich Area,greaterzuricharea.com,https://www.linkedin.com/company/greater-zurich-area,Education,"Greater Zurich Area Ltd (GZA) is the official investment promotion agency of the economic region of Zurich, Switzerland. GZA is a reliable Swiss business concierge for companies looking to grow internationally. We act as an intermediary, door opener an...",Large,Small,False,122 Limmatquai,Zürich,,8001,Switzerland,Europe/Zurich,2023-09-06,1999
17241138194,Jennifer Wang,jpwang@slippytoad.com,,slippytoad.com,slippytoad.com,,Other,,Small,,False,,,,,,,2023-09-06,1999
17220726096,Kristina Mc Millan,kristina@argyleearth.com,,Argyleearth,argyleearth.com,https://www.linkedin.com/company/argyle-earth,Other,"Argyle Earth is a company that specializes in converting low-grade waste heat into electricity. Their smart electric generator actively collects heat and converts it to clean, renewable power. The generator can be grid-tied for supplemental power witho...",Small,Micro,False,,San Jose,CA,,United States,America/Los_Angeles,2023-09-05,2021
17208525218,Alisa Rapajic,hi@theresultstory.com,,theresultstory.com,theresultstory.com,,Other,,Small,,False,,,,,,,2023-09-04,2021
17175479562,Bodil Jorgensen,bodil@jorgensen.com,,RealNames,jorgensen.com,https://www.linkedin.com/company/d-jorgensen.com,Technology,"RealNames (jorgensen.com) provides ad-free and reliable email services based on your own name. With RealNames, your email address is your name, allowing for a more meaningful and professional email address. The company offers email services that work w...",Small,,False,4 KAMMAVEJ,Middelfart,CA,,United States,America/Los_Angeles,2023-08-31,2021
17168716815,Line Sand Austnes,line.austnes@indykite.com,,Indykite,indykite.com,,Other,,Small,,False,,,,,,,2023-08-31,2021
17128799549,Hillary Talbot,hillary@etrevc.com,,être,etrevc.com,https://www.linkedin.com/company/%C3%AAtre,Finance and Legal,"être Venture Capital is a women-led venture capital firm that supports and promotes female entrepreneurs. We find great ideas hiding in plain sight among underserved entrepreneurs across the US, including women, minorities, and those not well networked...",Small,Micro,False,,Santa Cruz,CA,,United States,America/Los_Angeles,2023-08-27,2022
17103122718,Amanda Elam,aelam@babson.edu,17812394128,Babson College,babson.edu,,Education,"Babson College is a top school of business and the best college for entrepreneurship, with campuses in Wellesley, Boston, and Miami. Babson College, located in Wellesley, Massachusetts, is recognized internationally for its entrepreneurial leadership i...",Large,Enterprise,False,231 FOREST ST,Wellesley,MA,02457,United States,America/New_York,2023-08-25,1919
17103178666,Julie Castro Adams,julie@howwomeninvest.com,,How Women Invest,howwomeninvest.com,https://www.linkedin.com/company/howwomenlead,Other,"How Women Invest is a venture capital firm that leverages its professional network of 20,000 women to identify high potential female founders and provide the starter fuel and access to propel these fearless women founders to success. How Women Lead is ...",Small,Medium,False,,San Rafael,CA,94903,United States,America/Los_Angeles,2023-08-25,2004
17091112041,Jiovanni Sierra,js@currentwavemedia.com,18313330100,Current Wave,currentwavemedia.com,https://www.linkedin.com/company/current-wave-media,Other,"Current Wave Media is a Monterey-based advertising agency that specializes in rich media content and media placement on digital and traditional mediums. They offer in-house media production services including video production, 8K, drone, photography, a...",Medium,Micro,False,651 Cannery Row,Monterey,CA,93940,United States,America/Los_Angeles,2023-08-24,2004
17088965287,Karen Law,klaw@sandhillangels.com,6509480286,Sand Hill Angels,sandhillangels.com,https://www.linkedin.com/company/sand-hill-angels,Finance and Legal,Sand Hill Angels is a group of successful Silicon Valley executives and accredited investors that are passionate about entrepreneurialism and the commercialization of disruptive new technologies. Sand Hill Angels is a group of professionals dedicated t...,Medium,Medium,False,169 University Ave,Mountain View,CA,94043,United States,America/Los_Angeles,2023-08-24,2000
17066872725,May Roen,may@westcliffops.com,,westcliffops.com,westcliffops.com,,Other,,Small,,False,,,,,,,2023-08-22,2000
17065101164,Monterey Gardiner ,paul.owen@zeroavia.com,,ZeroAvia,zeroavia.com,https://www.linkedin.com/company/zeroavia,Other,"ZeroAvia is a company that is revolutionizing the aviation industry by developing hydrogen electric powertrains for airplanes. They aim to replace conventional engines with zero-emission powertrains, starting with 20-seat airplanes. ZeroAvia's mission ...",Large,Medium,False,90 Skylane Drive,Hollister,CA,95023,United States,America/Los_Angeles,2023-08-22,2017
17007776313,Maeve Katherine Bergman ,lgwyn@foundationccc.org,9163251863,Foundation for California Community Colleges,foundationccc.org,https://www.linkedin.com/company/foundationccc,Non-Profit,"The Foundation for California Community Colleges is the official foundation supporting the Board of Governors, Chancellor’s Office, and the entire California Community College system. They develop programs and services that save millions of dollars for...",Large,Large,False,1102 Q Street,Sacramento,CA,95811,United States,America/Los_Angeles,2023-08-18,1998
16983184683,Frank Onyemauwa,fo@verdantsustainability.com,,edited,verdantsustainability.com,,Industrial and Manufacturing,At Verdant Sustainability we understand the process and have the know-how to design functional barrier chemistries that reduce or eliminate the use or generation of hazardous substances to suit your needs. Our chemistries are either plant based or from...,Small,,False,,,,,,,2023-08-16,1998
16939726744,Steven Sablan,kato@specializedsec.com,,specializedsec.com,specializedsec.com,,Other,,Small,,False,,,,,,,2023-08-13,1998
16778448668,Matt Beatty,matt.beatty@advancedaviationalignment.com,,Advanced Aviation Alignment,advancedaviationalignment.com,,Education,Advanced Aviation Alignment (A3) is a company that specializes in providing consulting services and solutions for the integration of unmanned aircraft systems (UAS or Drones) and air taxis (EVTOLs) into the airspace. They work with communities and busi...,Small,,False,,,,,,,2023-07-31,1998
